,University,QS-ranks,Webometrics,THE-ranks,Province,City
0,University of Toronto,#=29 (cad-#1),18 (cad-#1),18 (cad-#1),Ontario,Toronto
1,McGill University,#=35 (cad-#2),55 (cad-#3),42 (cad-#3),Quebec,Montreal
2,University of British Columbia,#51 (cad-#3),29 (cad-#2),34 (cad-#2),British Columbia,Vancouver
3,University of Alberta,#113 (cad-#4),69 (cad-#4),=136 (cad-#6),Alberta,Edmonton
4,Université de Montréal,#137 (cad-#5),165 (cad-#9),,,
5,McMaster University,#=140 (cad-#6),142 (cad-#8),72 (cad-#4),Ontario,Hamilton
6,University of Waterloo,#=173 (cad-#7),90 (cad-#5),201–250 (cad-#=8),Ontario,Waterloo
7,Western University,#211 (cad-#8),,201–250 (cad-#=8),Ontario,London
8,University of Calgary,#233 (cad-#9),102 (cad-#6),201–250 (cad-#=8),Alberta,Calgary
9,Queen's University,#=239 (cad-#10),,,,
10,Simon Fraser University,,137 (cad-#7),,,
11,Western University (University of Western Ontario),,169 (cad-#10),,,
12,University of Montreal,,,85 (cad-#5),Quebec,Montreal
13,University of Ottawa,,,=141 (cad-#7),Ontario,Ottawa
